fileNo,County,Year,Totalhumanexposures,AnimalExposures,InformationCalls,Age_Under12mo,Age_1yr,Age_2yr,Age_3yr,Age_4yr,Age_5yr,Age_6-12yr,Age_13-19yr,Age_20-59yr,Age_Over60yr,Age_Adult,Age_Unknown,Age_UnknownAdult,Age_UnknownChild,Intentional,Intentional_Abuse,Intentional_Misuse,Intentional_SuspectedSuicide,Intentional_Unknown,ManageSite_HealthcareFacility,ManageSite_OnSite.NonHealthcareFacility,ManageSite_Other.Unknown,ManageSite_RefusedReferral,MedOutcome_Death,MedOutcome_MajorEffect,MedOutcome_MinorEffect,MedOutcome_ModerateEffect,MedOutcome_NoEffect,MedOutcome_Other.Unknown,OtherReason,Other_AdverseReaction.Drug,Other_AdverseReaction.Food,Other_AdverseReaction.Other,Other_Contamination.Tampering,Other_Malicious,Other_Other.Unknown,Other_Withdrawal,Unintentional,Unintentional_Bite.Sting,Unintentional_Environmental,Unintentional_FoodPoisoning,Unintentional_General,Unintentional_Misuse,Unintentional_Occupational,Unintentional_Other.Unknown,Unintentional_TherapeuticError
1,"Allegany County, MD",2006,540,20,645,17,82,106,31,15,12,33,54,NA,NA,187,3,NA,NA,101,11,15,71,4,146,379,10,5,0,5,317,25,177,16,10,4,NA,2,0,0,4,NA,429,6,7,3,309,38,3,NA,63
2,"Anne Arundel County, MD",2006,4371,244,3260,218,711,779,346,154,81,286,334,NA,NA,1453,9,NA,NA,763,89,88,556,30,1185,3098,42,46,5,23,2550,227,1390,170,112,63,NA,23,1,14,11,NA,3493,58,17,16,2571,258,69,2,502
3,"Baltimore City, MD",2006,5053,182,6860,240,827,738,255,151,66,260,377,NA,NA,2057,82,NA,NA,1203,135,150,892,26,1888,3058,35,71,5,42,2925,347,1482,245,174,103,NA,17,5,19,30,NA,3673,53,39,47,2641,349,85,4,455
4,"Baltimore County, MD",2006,5701,337,7363,313,973,962,410,197,109,408,450,NA,NA,1784,95,NA,NA,790,101,99,570,20,1210,4317,100,74,4,23,3330,207,1920,206,143,61,NA,24,2,40,16,NA,4767,81,55,35,3417,389,72,8,710
5,"Calvert County, MD",2006,726,24,490,46,139,141,68,29,23,45,55,NA,NA,179,1,NA,NA,69,6,12,51,NA,122,590,1,13,0,1,424,29,247,25,14,7,NA,3,4,NA,NA,NA,642,22,1,6,454,49,9,NA,101
6,"Caroline County, MD",2006,243,15,151,9,47,52,29,9,5,18,13,NA,NA,55,6,NA,NA,8,1,2,5,NA,13,224,2,4,0,0,150,4,83,6,6,1,NA,4,NA,NA,1,NA,229,7,1,1,171,17,2,NA,30
7,"Carroll County, MD",2006,1519,90,879,83,274,256,134,61,37,98,131,NA,NA,426,19,NA,NA,203,24,32,142,5,276,1200,29,14,4,5,873,51,543,41,31,21,NA,5,0,4,1,NA,1285,22,10,11,919,99,15,NA,209
8,"Cecil County, MD",2006,924,31,604,40,130,163,67,35,13,59,88,NA,NA,322,7,NA,NA,192,20,23,143,6,313,591,10,10,2,1,559,49,279,30,19,12,NA,2,1,4,NA,NA,713,12,6,6,514,55,22,NA,98
9,"Charles County, MD",2006,892,45,482,34,165,163,74,32,20,67,77,NA,NA,258,2,NA,NA,132,25,14,88,5,200,676,7,9,1,5,532,31,289,30,11,4,NA,2,NA,3,2,NA,749,22,12,6,551,60,9,1,88
10,"Dorchester County, MD",2006,235,7,142,13,35,40,12,9,4,9,14,NA,NA,99,NA,NA,NA,37,3,7,25,2,80,152,2,1,0,1,149,15,62,8,7,4,NA,1,NA,1,1,NA,191,1,3,1,132,24,14,NA,16
11,"Frederick County, MD",2006,1879,93,847,98,402,362,166,75,44,140,119,NA,NA,446,27,NA,NA,203,17,30,152,4,326,1526,11,16,1,6,1097,63,665,44,22,10,NA,8,1,1,2,NA,1654,15,5,10,1254,115,25,NA,230
12,"Garrett County, MD",2006,245,7,243,9,42,59,12,10,4,18,15,NA,NA,72,4,NA,NA,31,2,9,18,2,56,187,2,0,0,0,164,4,75,2,3,1,NA,2,NA,NA,NA,NA,211,1,1,NA,159,23,2,NA,23
13,"Harford County, MD",2006,2240,113,1634,123,396,375,149,96,50,159,197,NA,NA,691,4,NA,NA,376,53,52,262,9,568,1618,26,28,3,6,1383,82,694,66,53,26,NA,6,5,10,6,NA,1809,34,18,9,1329,121,37,1,260
14,"Howard County, MD",2006,1832,126,849,101,341,327,135,76,43,167,141,NA,NA,498,3,NA,NA,189,16,19,151,3,342,1451,16,23,1,6,1070,58,645,49,41,20,NA,6,2,5,8,NA,1602,24,23,6,1171,133,30,1,214
